experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
8,2,531700,847999752217600,8,1013300,
8,1,515000,847999752429500,4,1434500,
8,2,531700,847999752697000,9,476500,
8,3,426200,847999752922300,10,1015000,
8,4,309700,847999753155600,5,1491600,
8,3,426200,847999753389700,11,449000,
8,2,531700,847999753586800,10,887400,
8,1,515000,847999753779400,5,1347100,
8,2,531700,847999754004000,11,407100,
8,3,426200,847999754204400,12,812600,
8,4,309700,847999754396800,6,1238600,
8,3,426200,847999754661300,13,454800,
8,2,531700,847999754888800,12,882400,
8,1,515000,847999755082400,6,1300600,
8,2,531700,847999755335200,13,443800,
8,3,426200,847999755552400,14,888600,
8,4,309700,847999755898900,7,1500100,
8,2,531700,847999756088900,14,751200,
8,1,515000,847999756330700,7,1245900,
8,4,309700,847999756542000,8,640600,
8,4,309700,847999756895500,9,338200,
8,1,515000,847999757108100,8,774700,
8,1,515000,847999757272600,9,162300,
8,1,515000,847999757431700,10,157200,
8,4,309700,847999757619700,10,721400,
8,1,515000,847999757815100,11,370700,
8,4,309700,847999758026200,11,397600,
8,1,515000,847999758240700,12,423700,
8,4,309700,847999758423400,12,373400,
8,4,309700,847999758583800,13,158500,
8,4,309700,847999758753900,14,168500,
8,1,515000,847999759015900,13,772900,
8,1,515000,847999759220700,14,203000,
8,1,515000,,,TOTAL,,33481300
8,2,531700,,,TOTAL,,30283800
8,3,426200,,,TOTAL,,29766000
8,4,309700,,,TOTAL,,33000700
9,2,622700,848000015591000,0,21302600,
9,3,550000,848000015968800,0,21703100,
9,1,598800,848000016271700,0,22060300,
9,4,455200,848000016543500,0,22318000,
9,1,598800,848000016786500,1,431100,
9,3,550000,848000017015800,1,660400,
9,2,622700,848000017276900,1,927100,
9,3,550000,848000017496300,2,478200,
9,1,598800,848000017730200,2,940800,
9,4,455200,848000017939800,1,1391900,
9,1,598800,848000018186400,3,453500,
9,3,550000,848000018391400,3,892600,
9,2,622700,848000018584100,2,1305000,
9,3,550000,848000018791000,4,397000,
9,1,598800,848000019042300,4,853000,
9,4,455200,848000019335100,2,1392700,
9,1,598800,848000019581000,5,536000,
9,3,550000,848000019802200,5,1009000,
9,2,622700,848000020043300,3,1456800,
9,3,550000,848000020275300,6,470600,
9,1,598800,848000020498500,6,915000,
9,4,455200,848000020710700,3,1373100,
9,1,598800,848000020949400,7,448500,
9,3,550000,848000021159200,7,881700,
9,2,622700,848000021334200,4,1288800,
9,3,550000,848000021533400,8,371600,
9,1,598800,848000021720800,8,768600,
9,4,455200,848000021899600,4,1186200,
9,1,598800,848000022072000,9,349100,
9,3,550000,848000022259800,9,724200,
9,2,622700,848000022472300,5,1135800,
9,3,550000,848000022661300,10,399400,
9,1,598800,848000022853000,10,778800,
9,4,455200,848000023026600,5,1124800,
9,1,598800,848000023232600,11,361600,
9,3,550000,848000023463500,11,785000,
9,2,622700,848000023650200,6,1175800,
9,3,550000,848000023925400,12,459800,
9,1,598800,848000024168000,12,933400,
9,4,455200,848000024385800,6,1357000,
9,1,598800,848000024561300,13,390800,
9,1,598800,848000024712200,14,149000,
9,3,550000,848000024939500,13,1011600,
9,3,550000,848000025149800,14,208300,
9,2,622700,848000025377600,7,1725100,
9,4,455200,848000025691100,7,1302700,
9,2,622700,848000025898700,8,518700,
9,4,455200,848000026106100,8,412400,
9,4,455200,848000026315200,9,207300,
9,2,622700,848000026523900,9,622800,
9,2,622700,848000026779200,10,253300,
9,4,455200,848000026984400,10,667700,
9,2,622700,848000027170800,11,384000,
9,2,622700,848000027413400,12,240100,
9,4,455200,848000027644700,11,651000,
9,2,622700,848000027824800,13,359100,
9,4,455200,848000028005300,12,356700,
9,4,455200,848000028171800,13,164500,
9,4,455200,848000028329800,14,156300,
9,2,622700,848000028568100,14,741400,
9,1,598800,,,TOTAL,,30502600
